FIPS,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10
19141,94.49229059591607,0.3889429087373246,3.7852479511043198,0.5695235449367968,0.11112654535352133,0.006945409084595083,20.398666481455763,23.565773024031113,53907.0,9.2,0,12.3,0,0,1.0
19143,91.87558031569174,0.2321262766945218,6.6542865985762925,0.2940266171463943,0.2940266171463943,0.015475085112968119,19.746208604147323,23.0578768183225,54415.0,9.6,0,14.7,0,0,1.0
19145,92.6876726085865,2.1591765001255334,2.7491840321365806,0.7280944012051218,0.43309063519959823,0.025106703489831784,19.92844589505398,22.006025608837557,46870.0,15.7,0,24.0,0,0,0.0
19147,96.677635070587,0.4670417153168454,1.6134168347309203,0.3290521176095956,0.22290627321940346,0.04245833775607685,21.324700137989602,21.95096061989173,48992.0,11.6,0,15.6,0,0,1.0
19149,95.18130152885617,0.2921636116225086,2.9696630112863205,0.4602577443368286,0.20411430401024572,0.06403586008164573,16.605298967421756,25.95053229808693,61929.0,8.3,0,10.2,0,1,0.0
19151,96.34746922024624,0.3556771545827633,2.270861833105335,0.16415868673050615,0.12311901504787963,0.1094391244870041,22.120383036935703,21.46374829001368,47872.0,13.1,0,20.8,0,0,1.0
19153,80.7426156418354,5.885194129667473,7.581042169793795,3.510588890953,0.20759799368381945,0.05294445476500093,10.80833178524986,25.52596135983653,60436.0,11.9,0,14.7,0,1,0.0
19155,89.74967259924,1.3053092595375595,6.602760900835142,0.5893213679984542,0.3585306683269284,0.026836127868782072,14.312243714978855,24.12997273449409,52927.0,13.5,0,18.7,0,1,0.0
19157,93.60790948503755,1.1261499418420218,2.4109125515491168,1.3482076768531246,0.2167706460822671,0.11102886750555144,18.441366183779213,20.894575446759013,52861.0,10.9,0,12.6,0,0,0.0
19159,96.78425258234263,0.331319430910154,1.7735334242837657,0.3118300526213213,0.2533619177548236,0.0,23.562658351198603,24.22529721301891,45870.0,14.1,0,24.9,1,0,0.0
19161,96.91787439613528,0.2995169082125604,1.8840579710144931,0.14492753623188406,0.05797101449275361,0.028985507246376805,22.135265700483085,22.463768115942024,52506.0,10.9,0,14.3,0,0,1.0
19163,82.84752820413499,6.907592117367938,5.566382607853581,1.9942623347697672,0.22333317193628044,0.032077664261850575,13.076187478816635,24.55212317823077,58160.0,12.4,0,16.7,0,1,0.0
19165,96.6795430262185,0.25478754006739546,1.7999506862825678,0.3780718336483932,0.19725486972959647,0.0,20.876140379715626,23.555519026875977,54614.0,9.2,0,11.3,0,0,1.0
19167,89.27723712319012,0.3085687158794209,8.903987657251365,0.7832898172323759,0.14241633040588653,0.008901020650367908,14.265369095656302,26.84251127462616,62875.0,7.6,0,8.0,0,0,0.0
19169,86.9000022335887,2.373188001161466,3.009760782649483,5.996068883875723,0.14965044336735833,0.01898550400929173,9.989725491947912,17.81622032119006,51706.0,18.6,0,9.5,0,1,0.0
19171,83.71700343333146,0.3320763212697698,7.4295041368829855,0.2532785501210109,6.6584116620701295,0.016885236674734058,18.42742162435977,25.552991501097537,59226.0,11.2,0,16.5,0,0,0.0
19173,92.95551685926864,0.1899635903118569,5.762228906126325,0.2691150862751306,0.14247269273389265,0.0,21.00680702865284,23.365521608358396,46466.0,14.7,0,20.3,0,0,1.0
19175,95.970958991543,0.7020903143449817,1.7951172809956921,0.4707196425722036,0.2393489707994256,0.02393489707994256,18.086803893409925,23.42428594223712,45010.0,14.3,0,19.6,0,0,0.0
19177,97.39762219286658,0.19815059445178332,1.1624834874504624,0.5284015852047557,0.13210039630118892,0.013210039630118891,19.788639365918094,24.068692206076623,43653.0,15.8,0,24.7,0,0,0.0
19179,87.45824561403509,1.2547368421052632,9.077894736842106,0.7017543859649122,0.25263157894736843,0.12070175438596492,16.437894736842104,22.79017543859649,44738.0,16.0,0,22.1,0,0,0.0
19181,95.76203353163872,0.4607896160086534,1.9448350459707957,0.5386695511087074,0.2076798269334776,0.021633315305570583,13.32395889670092,25.99891833423473,67728.0,7.8,0,8.9,0,1,0.0
19183,92.67416144489496,0.6450423884998157,5.243273129377073,0.3317360855141909,0.18429782528566166,0.05989679321784003,17.31478068558791,25.152045705860672,55283.0,10.9,0,14.9,0,1,0.0
19185,97.51678900515385,0.2655005466187724,1.0776198656879588,0.2342651881930345,0.1874121505544276,0.01561767921286897,22.1458691238482,23.42651881930345,44381.0,16.4,0,26.2,0,0,1.0
19187,89.99552784573699,3.7750243337805487,3.8039618025412363,0.6339936337568727,0.23676110804198566,0.018414752847709992,16.670612685134035,22.147686317838634,44922.0,14.6,0,19.6,0,0,1.0
19189,94.30333149272958,0.7178354500276091,3.3130866924351188,0.782256580158292,0.16565433462175594,0.009203018590097551,19.261917909074175,21.66390576108964,48408.0,10.8,0,15.0,0,0,1.0
19191,95.71143617021278,0.6174012158054711,1.9851823708206688,1.0638297872340423,0.047492401215805474,0.009498480243161094,16.845554711246198,20.40748480243161,59096.0,9.5,0,9.5,0,0,0.0
19193,77.59660180871471,2.333320283443605,13.695533022745956,2.344086442469561,1.750968954312336,0.09983165642250323,12.845985201425046,26.635477430215715,50774.0,14.0,0,19.6,0,1,0.0
19195,96.53856277967886,0.2763885232956041,1.9347196630692287,0.3158725980521189,0.13161358252171626,0.0,18.294287970518557,23.124506449065546,50761.0,10.9,0,15.1,0,0,1.0
19197,88.72930682591276,0.3023660140600197,9.630357547811622,0.2494519615995162,0.15118300703000986,0.022677451054501474,20.931287323304858,23.32753798473052,49882.0,12.6,0,18.2,0,0,0.0
20001,91.87794480592328,1.8173659412160648,2.9317178969411413,0.5010844364669808,0.7404083464213597,0.014957744372148682,18.285842494951762,23.543489641762022,41604.0,18.9,0,26.0,0,0,1.0
20003,95.95161688471985,0.4937052579609973,1.5181436682300666,0.4443347321648976,0.4690199950629474,0.012342631449024932,20.155517156257712,25.38879289064429,47267.0,14.0,0,19.9,0,0,0.0
20005,89.52966201843536,4.987000709052234,2.2630583786338927,0.41361380288347904,0.5081541006854172,0.04727014890096904,15.368707161427558,24.184589931458287,46110.0,16.6,0,21.5,0,0,0.0
