FIPS,REDEMP_SNAPS12,REDEMP_SNAPS16,PCT_SNAP12,PCT_SNAP16,PC_SNAPBEN10,PC_SNAPBEN15,SNAP_PART_RATE08,SNAP_PART_RATE13,SNAP_OAPP09,SNAP_OAPP16,SNAP_CAP09,SNAP_CAP16,SNAP_BBCE09,SNAP_BBCE16,SNAP_REPORTSIMPLE09,SNAP_REPORTSIMPLE16,PCT_NSLP09,PCT_NSLP15,PCT_FREE_LUNCH09,PCT_FREE_LUNCH14,PCT_REDUCED_LUNCH09,PCT_REDUCED_LUNCH14,PCT_SBP09,PCT_SBP15,PCT_SFSP09,PCT_SFSP15,PC_WIC_REDEMP08,PC_WIC_REDEMP12,REDEMP_WICS08,REDEMP_WICS12,PCT_WIC09,PCT_WIC15,PCT_CACFP09,PCT_CACFP15,FDPIR12
1001,301432.0810690423,239024.0155731225,18.824675227627115,16.976435753500713,16.69232131840477,17.905272402410585,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,32.00674870980548,45.97535152416083,8.217546645494242,7.686162774306382,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,19.26266,16.63944,161658.7,184744.3,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1003,274394.50366265053,155844.3901893143,18.824675227627115,16.976435753500713,14.139211221755867,14.157134207210305,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,33.21605514468299,36.75643875016343,8.160407840884613,5.082363707674205,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,17.85356,17.92161,125840.5,126639.4,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1005,325496.5607655502,281716.325971564,18.824675227627115,16.976435753500713,27.558242585375925,31.633041492196426,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,68.24583866837388,63.93180607352158,3.713188220230474,3.436334576451785,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,35.84205,40.42276,178230.6,157077.1,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1007,356444.032,256026.9196595745,18.824675227627115,16.976435753500713,20.128736635391665,19.47313210111845,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,50.278551532033426,54.334226988382476,11.197771587743732,9.115281501340485,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,25.7193,21.74258,92542.33,98263.4,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1009,229730.0226315789,141304.90067256632,18.824675227627115,16.976435753500713,19.157856785643677,15.795131423815796,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,39.6810979917247,44.987979512908964,9.08265213442325,8.090310442144872,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,17.81256,15.471589999999999,102945.9,149110.0,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1011,211588.91372093023,210721.36150375946,18.824675227627115,16.976435753500713,31.64895241585731,35.278176311174875,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,92.11973121563835,63.85780118499012,0.061087354917532075,0.0,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,21.381730698893676,19.15426637280438,116673.00532852349,110173.59840019973,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1013,345604.8689908257,305223.8659354839,18.824675227627115,16.976435753500713,29.22852914498496,31.257246016761073,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,69.69248965109402,65.84142901911626,8.604376108811357,5.32748354747728,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,40.04169,40.12669,134613.5,203713.2,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1015,315617.50259818736,261900.1198524893,18.824675227627115,16.976435753500713,26.810714165232934,26.822656893784966,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,48.381188385498035,53.568714561290705,8.538490545709207,7.160811363769218,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,24.50327,24.13542,126327.7,148999.4,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1017,327935.78832116787,270583.6106666667,18.824675227627115,16.976435753500713,28.089531881728288,27.345318176032272,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,64.6073087017969,65.34928434095278,7.631738340399758,7.306131168553728,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,26.92083,28.526970000000002,154673.6,161957.1,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1019,242354.87129032263,178751.8756701031,18.824675227627115,16.976435753500713,25.119601882847878,22.347689756148124,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,47.649208282582215,51.148999258710155,11.32764920828258,10.773412404250061,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,23.12612,27.365240000000004,112915.6,118678.5,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1021,247911.5946524065,164782.24030959743,18.824675227627115,16.976435753500713,27.089109364617467,22.67989073782404,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,48.718609143593035,50.01312335958005,9.426915647134578,7.152230971128608,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,23.90553,22.55591,145810.0,141196.8,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1023,199087.26795918372,201085.89456521734,18.824675227627115,16.976435753500713,28.152584361546047,31.48120091912229,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,67.91125541125541,64.50793650793649,8.008658008658008,3.8730158730158735,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,25.58854,19.15426637280438,72072.68,110173.59840019973,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1025,404583.406307054,344827.50463414635,18.824675227627115,16.976435753500713,28.922953844565736,31.08064385666909,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,59.07995178786661,52.064380685794255,8.055443953394937,3.2190342897130866,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,35.38964,34.33015,66390.97,107972.6,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1027,181439.6724590164,117259.88150943395,18.824675227627115,16.976435753500713,17.364101827926117,16.30850932444115,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,51.918522027475134,54.35745937961597,12.363808621506395,10.438207779419004,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,21.381730698893676,19.15426637280438,116673.00532852349,110173.59840019973,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1029,157971.5238,157603.32700729926,18.824675227627115,16.976435753500713,21.73501647519815,18.79390059571441,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,43.870237646171255,45.97535152416083,14.522821576763489,7.686162774306382,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,20.60166,21.11114,60717.22,62624.08,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1031,306212.2629333333,266669.27601476014,18.824675227627115,16.976435753500713,14.636889031259177,17.94515271984281,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,36.5296803652968,40.45280678176367,8.414872798434441,6.233846790034116,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,26.03889,21.868270000000003,177708.0,140099.1,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1033,263129.2794618834,154331.85438943902,18.824675227627115,16.976435753500713,20.490372602337036,19.498419130061084,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,43.17937701396348,44.728550654386815,8.366153478935434,7.283082888996607,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,29.0999,23.41329,144510.1,159345.0,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1035,137903.45450549453,160813.6570212766,18.824675227627115,16.976435753500713,38.838070758996075,35.66325315551322,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,80.92144122858831,78.54330708661419,4.370939161252215,3.871391076115487,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,21.381730698893676,19.15426637280438,116673.00532852349,110173.59840019973,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1037,218925.34399999995,174849.83749999994,18.824675227627115,16.976435753500713,19.925181269318546,21.459093602819625,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,62.518853695324275,45.97535152416083,11.463046757164404,7.686162774306382,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,21.381730698893676,19.15426637280438,116673.00532852349,110173.59840019973,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1039,305199.15815384616,232920.3417073171,18.824675227627115,16.976435753500713,25.41815614104771,25.612260251542267,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,49.05109489051095,51.59993568097765,8.321167883211679,7.653963659752373,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,28.605320000000003,24.20761,104827.1,102088.9,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1041,167601.42074074075,159004.89122171947,18.824675227627115,16.976435753500713,25.420681720120808,27.307341212645333,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,48.09444904722452,45.97535152416083,10.894780447390225,7.686162774306382,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,21.98315,23.0261,50143.57,64855.31,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1043,224490.19483870963,171700.80771428574,18.824675227627115,16.976435753500713,17.01365569733602,15.937151327094885,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,39.59622524752475,51.29824561403509,10.99164603960396,1.676413255360624,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,18.91956,22.41036,171365.0,163880.9,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1045,340056.2531207289,213683.61565495207,18.824675227627115,16.976435753500713,24.870151837774372,26.821281479981092,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,50.85386126643493,55.95032227637165,8.236360888620219,6.241157050778179,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,21.74546,18.195339999999998,131560.0,114730.7,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1047,505114.85919040494,513411.1867590989,18.824675227627115,16.976435753500713,48.54138140879356,51.455424318750566,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,77.47946548976337,69.64108384167967,5.430918229741327,0.0,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,53.36845,41.33126,162495.5,177162.3,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1049,226782.4648508947,205211.91268292684,18.824675227627115,16.976435753500713,22.765519601363163,25.885261141472764,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,55.84218512898332,59.08228109267972,8.2701062215478,5.834777585210861,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,32.30809,26.541209999999996,185486.1,171504.5,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1051,350017.54190114065,246114.44953229395,18.824675227627115,16.976435753500713,17.995325943953357,18.190378886727885,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,40.00926140310257,44.93877861434329,9.477502508296674,7.148832610844932,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,20.46489,19.73372,133235.0,159111.0,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1053,319667.6844970414,261083.09254174394,18.824675227627115,16.976435753500713,31.19427264107449,30.811325243873423,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,59.9830364715861,45.97535152416083,9.32994062765055,7.686162774306382,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,30.22372,29.66015,189059.4,187818.0,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1055,271338.48940594064,182275.72915662648,18.824675227627115,16.976435753500713,19.962335216572505,17.51917412732204,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,47.97930614729154,51.840721262208874,9.695678636640292,9.153518657650887,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,26.370459999999998,24.726570000000002,151535.0,151838.6,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1057,405875.1986842106,392463.4969014084,18.824675227627115,16.976435753500713,25.994238539914544,27.531942035918604,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,45.94383775351014,49.05349794238683,8.697347893915756,9.012345679012343,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,23.10955,22.097160000000002,81239.31,75055.22,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1059,348542.81495934963,260103.0224615384,18.824675227627115,16.976435753500713,24.794452855580786,24.998414811996703,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,55.22904062229905,58.43302443133951,10.112359550561797,10.867733782645324,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,33.80968,33.25215,174970.7,150874.5,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1061,348479.9564028777,220298.63592689292,18.824675227627115,16.976435753500713,25.72788353863382,26.59004547436616,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,49.736379613356775,55.18267929634643,7.356264122520713,6.441136671177268,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,24.66132,21.300279999999997,106746.5,81948.25,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1063,149920.7096703297,105611.95764705882,18.824675227627115,16.976435753500713,44.195688225538966,44.85207100591716,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,65.42056074766353,45.97535152416083,2.731847591660676,7.686162774306382,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,21.381730698893676,19.15426637280438,116673.00532852349,110173.59840019973,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1065,295879.12640883983,247637.09485714286,18.824675227627115,16.976435753500713,29.785321489001692,30.359314538419017,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,67.40387887036407,66.09133405249909,7.451514120449133,7.443365695792881,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,30.504609999999996,19.15426637280438,137903.7,110173.59840019973,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1067,135975.07052132706,140676.93000000002,18.824675227627115,16.976435753500713,23.171694987092053,22.11913210400791,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,53.97607318789584,56.81818181818182,9.042927515833918,5.172413793103448,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,20.0945,19.15426637280438,83507.7,110173.59840019973,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1069,330163.77942148765,266446.7087191822,18.824675227627115,16.976435753500713,22.823585794426883,23.554009754537454,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,52.165556125064064,55.843742034157536,7.438493080471552,6.831506500127452,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,27.2464,28.36497,149631.2,139666.4,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1071,220545.15322239036,172164.30388625598,18.824675227627115,16.976435753500713,20.41257256655457,18.74514003084885,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,46.884825899615706,51.29115163382695,11.95993944334459,8.603598090808957,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,20.058629999999997,19.42001,88481.97,93602.68,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1073,364831.81245505344,294128.44621076237,18.824675227627115,16.976435753500713,21.762576452947712,23.11036095071719,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,45.60550385429565,43.0949861426052,6.323641011303272,3.81859410430839,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,20.96762,19.97552,135046.5,140255.5,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1075,241560.63810810808,177098.63065868267,18.824675227627115,16.976435753500713,23.49972535017852,23.024265093751502,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,47.57446808510638,47.53268663011387,9.531914893617019,11.134542387178406,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,14.74836,19.54982,52876.56,69690.21,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1077,274112.6880991734,197129.66823529414,18.824675227627115,16.976435753500713,17.030888766642576,16.83571770998915,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,39.78649303452453,43.96146435452794,8.298001211387037,5.7186897880539505,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,21.13614,20.321820000000002,110902.6,117538.9,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1079,267727.6788957055,228470.0865,18.824675227627115,16.976435753500713,21.285321840084645,24.145112123864426,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,45.25491693717778,52.55489021956088,11.265991980141301,9.920159680638722,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,23.93443,19.817220000000002,135816.0,111762.5,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1081,339127.4570293282,249131.58828250397,18.824675227627115,16.976435753500713,15.025276833016035,14.286063606073556,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,38.2960880074984,41.6980003418219,6.921217502836566,5.6827892667920015,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,15.542029999999999,14.803189999999999,159132.5,145324.9,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1083,263637.1175838926,175281.11933407324,18.824675227627115,16.976435753500713,16.985375242605073,15.487546659099342,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,37.238529014844815,40.096375143843495,7.0175438596491215,5.883199079401611,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,17.9975,16.44223,171682.6,160136.4,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1085,127112.7246,107953.74848484847,18.824675227627115,16.976435753500713,47.46732749210845,49.150834772596426,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,91.34312696747116,68.93939393939394,3.6726128016789086,0.0,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,36.17543,19.15426637280438,75920.17,110173.59840019973,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1087,523231.4292307692,310090.23512195126,18.824675227627115,16.976435753500713,47.58297594629872,47.97900945441929,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,97.7663859392164,66.91484411354118,0.0,0.0,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,22.348689999999998,18.37947,124007.3,94355.63,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1089,301028.96001464647,237181.8645587375,18.824675227627115,16.976435753500713,12.947852171324518,15.41740493968333,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,29.26604447516995,30.033067496595997,5.766793409378962,3.9369772417817535,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,15.4745,15.739189999999999,141885.2,154280.0,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1091,395813.20299674274,376333.15670103097,18.824675227627115,16.976435753500713,29.23622009796928,31.086781840096425,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,61.19302949061662,59.01430030643514,6.724754244861482,6.639427987742593,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,32.70823,32.372209999999995,86267.95,110070.9,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1093,366487.6659854014,284759.95608832804,18.824675227627115,16.976435753500713,24.491486872887965,24.34068668104163,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,44.22350367866376,45.35253017150117,9.107178365480213,7.812830827863644,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,24.16646,21.94201,88745.29,95062.2,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1095,362775.7723738318,276264.44114374026,18.824675227627115,16.976435753500713,20.105211480091878,23.907962221776327,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,46.22550205661746,49.258791082509774,8.178078877328819,5.1310043668122285,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,36.847809999999996,36.07156,219121.6,244194.2,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1097,341039.1568057554,270103.01491459244,18.824675227627115,16.976435753500713,28.933167389844517,28.801706243739453,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,60.064755708323105,47.900533197917994,6.6121409280628525,0.6030214548686048,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,26.07827,26.29706,166710.3,197914.5,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1099,328256.0431270359,270652.6042307692,18.824675227627115,16.976435753500713,28.89645107219236,27.238788772641374,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,58.62573099415205,61.99945518932171,8.47953216374269,5.284663579406157,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,33.68864,30.31662,69361.85,114202.7,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1101,491174.299530115,395557.02000000014,18.824675227627115,16.976435753500713,29.2113374868658,32.514869145641214,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,63.37677874323133,53.07415815361332,7.146455106409771,0.0,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,29.76851,27.333809999999996,190965.0,224673.2,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
1103,287712.5571428571,195545.10054123716,18.824675227627115,16.976435753500713,17.173682595475213,17.269468200055282,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970074,10.934529342481211,41.034691407825726,42.26092333058533,7.134933440903589,5.1885820280296775,4.50900756640675,5.2329982595108975,0.5648895620624597,1.0271087814950426,27.70203,24.98379,189509.6,167106.9,2.9904169041698907,2.7193521519644355,0.9160899337992502,1.055597276711836,0
