FIPS,PCT_LOCLFARM07,PCT_LOCLFARM12,PCT_LOCLSALE07,PCT_LOCLSALE12,PC_DIRSALES07,PC_DIRSALES12,FMRKTPTH09,FMRKTPTH16,PCT_FMRKT_SNAP16,PCT_FMRKT_WIC16,PCT_FMRKT_WICCASH16,PCT_FMRKT_SFMNP16,PCT_FMRKT_CREDIT16,PCT_FMRKT_FRVEG16,PCT_FMRKT_ANMLPROD16,PCT_FMRKT_BAKED16,PCT_FMRKT_OTHERFOOD16,VEG_ACRESPTH07,VEG_ACRESPTH12,FRESHVEG_ACRESPTH07,FRESHVEG_ACRESPTH12,ORCHARD_ACRESPTH07,ORCHARD_ACRESPTH12,BERRY_ACRESPTH07,BERRY_ACRESPTH12,GHVEG_SQFTPTH07,GHVEG_SQFTPTH12,FARM_TO_SCHOOL09,FARM_TO_SCHOOL13
1001,6.024096385542169,13.110539845758352,0.5963740458015268,1.5546918378678511,1.9082148649937984,5.582238332578161,0.0394042083694539,0.01804532986863,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,18.089876920141208,17.181694608065246,19.9174269238723,17.146166601413753,7.3275450815761864,7.285908473040327,1.7280313289917533,0.09062075215224287,0.0,0.0,0.0,1.0
1003,7.023705004389816,10.414560161779574,0.7126340549376071,0.4780100618167333,4.1472355629799775,3.403432845227841,0.0222372941660459,0.01917885722779208,0.0,0.0,0.0,100.0,50.0,75.0,100.0,75.0,75.0,13.224751165866222,11.97504149246833,19.9174269238723,17.146166601413753,25.13282754460453,17.652681779028978,0.4582260272383472,0.4884556398243661,0.0,326.47744700518916,0.0,0.0
1005,2.8892455858747987,2.276707530647986,0.01540335793202918,0.012457357506995285,0.3962964297294376,0.4786626900843183,0.0672562800551502,0.154053533602927,50.0,0.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0,1.1528623410310912,1.1782466217460144,1.080808444716648,1.5096284841120808,37.720214720611025,29.419345336720795,1.7280313289917533,1.5464486910416435,0.0,0.0,0.0,1.0
1007,5.6872037914691935,6.878306878306877,0.9945047641366087,1.0521534337996394,2.0500935912291647,0.8833141948591113,0.0463241765877612,0.04416375921918474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8968713789107765,2.870771133292112,19.9174269238723,0.5299885169154669,25.990919021517076,0.5741542266584224,0.2674035118994563,1.972855963405718,0.0,304.15541564704625,0.0,0.0
1009,5.9405940594059405,7.0910556003223215,0.2677167319837248,0.27779180766705386,7.628022759601707,8.567571309886459,0.0171394292570057,0.017329821156245668,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,10.401849217638693,10.125311548047634,10.33072546230441,11.3195790639712,3.4317211948790893,3.0462475768485184,0.4978662873399715,0.6577125450013847,93.02918437856692,0.0,0.0,1.0
1011,4.693140794223827,4.395604395604397,0.10295126973232673,0.1063264221158958,3.8143674507310865,5.468602677729586,0.0910332271279017,0.09650646593321753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.169648533284898,12.634357910616634,19.9174269238723,6.6000377145012274,103.16955771501229,61.85178201018292,1.7280313289917533,0.0,0.0,0.0,0.0,0.0
1013,2.2448979591836733,7.616707616707617,0.01050012075138864,0.11893089298035373,0.4786062984588878,6.419051352410818,0.100180324584252,0.10001000100010002,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,3.8288503876711024,3.920031360250882,19.9174269238723,4.9000392003136035,11.677993682396863,24.353194825558607,1.7280313289917533,1.972855963405718,0.0,0.0,0.0,0.0
1015,4.761904761904762,8.445945945945946,0.11583962004604625,0.3084983167898856,0.6884029911109963,2.4299575396893065,0.0175314031258492,0.01745033199256616,50.0,0.0,0.0,100.0,50.0,100.0,100.0,100.0,100.0,0.3958317198888229,0.39220367307266,0.3269914207777233,17.146166601413753,0.4818820937776975,0.7758811793393926,0.13768059822219927,0.1023140016711287,0.0,304.15541564704625,0.0,0.0
1017,4.464285714285714,7.308970099667776,1.028553883942278,0.8033573141486811,1.922690618991592,1.966250917094644,0.0291375291375291,0.029548207901190792,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.1191781215025682,1.144534115920763,1.1191781215025682,17.146166601413753,2.78359686630126,4.4020542920029335,0.0,0.14673514306676447,93.02918437856692,154.9523110785033,0.0,0.0
1019,3.516819571865444,2.4955436720142603,0.08999850002499958,0.025832256989292108,2.113254803741244,1.1912538907889174,0.0409031413612565,0.03887269193391642,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,4.5004500450045,4.4191676593782425,19.9174269238723,17.146166601413753,1.4088365358274957,1.3065365253813934,0.19567174108715216,1.972855963405718,0.0,0.0,0.0,1.0
1021,8.992248062015504,10.681399631675877,3.732371269268613,5.199825425525282,13.26928010074392,19.085978442456003,0.0,0.0,24.265832440767596,21.929931603627306,10.547848274926883,25.93829145733819,49.276391068507394,62.52862636286988,53.576042220286325,57.36250968098065,58.18304842250518,9.584664536741213,9.40568002380026,9.4913831300576,10.366844405794447,46.757305100160906,37.87445362381857,0.6296494951143863,0.6407762546627914,0.0,304.15541564704625,0.0,0.0
