FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13,PCT_HSPA15,RECFACPTH09,RECFACPTH14,RECFACPTH14 
1119,17.1,20.1,40.8,40.3,25.40000000000001,0.072748436,0.07595321299999999,0.07595321299999999
1121,13.6,15.3,34.0,39.0,25.40000000000001,0.036287099999999996,0.0,0.0
1123,14.3,13.7,33.9,36.9,25.40000000000001,0.071717148,0.0242925,0.0242925
1125,11.1,12.3,33.1,34.3,25.40000000000001,0.082990995,0.084070184,0.084070184
1127,13.3,16.7,33.1,33.2,25.40000000000001,0.08909082800000001,0.061095800000000006,0.061095800000000006
1129,12.9,17.8,34.9,40.2,25.40000000000001,0.05716569999999999,0.0,0.0
1131,17.1,19.3,40.8,44.9,25.40000000000001,0.0,0.0,0.0
1133,10.0,13.2,29.3,30.2,25.40000000000001,0.0,0.0414079,0.0414079
2013,5.5,7.6,28.4,33.4,20.900000000000006,0.0,0.0,0.0
2016,5.9,6.2,30.0,39.4,20.900000000000006,0.0,0.0,0.0
2020,7.0,7.0,26.5,27.0,20.900000000000006,0.11818810699999999,0.136208099,0.136208099
2050,5.5,5.8,31.9,30.3,20.900000000000006,0.059312000000000004,0.0,0.0
2060,6.8,8.5,32.6,39.7,20.900000000000006,0.0,0.0,0.0
2068,6.0,5.8,29.8,27.0,20.900000000000006,0.0,0.0,0.0
2070,7.8,7.2,38.5,38.0,20.900000000000006,0.0,0.0,0.0
2090,5.2,5.5,25.5,28.1,20.900000000000006,0.084000084,0.11071187699999999,0.11071187699999999
2100,6.6,7.9,29.4,25.5,20.900000000000006,0.0,0.0,0.0
2105,9.913256851497797,7.3,28.93068833652004,31.8,20.900000000000006,0.0,0.0,0.0
2110,5.3,5.9,26.7,28.6,20.900000000000006,0.226852902,0.277726347,0.277726347
2122,6.3,7.2,29.9,28.4,20.900000000000006,0.164245565,0.173982637,0.173982637
2130,7.2,8.9,34.0,30.8,20.900000000000006,0.37610952299999995,0.21759628600000003,0.21759628600000003
2150,6.2,6.6,26.2,30.2,20.900000000000006,0.0,0.0,0.0
2164,7.2,7.4,34.3,31.9,20.900000000000006,0.0,0.0,0.0
2170,5.8,8.2,27.9,30.2,20.900000000000006,0.092075732,0.06129830000000001,0.06129830000000001
2180,7.1,6.0,33.0,31.7,20.900000000000006,0.0,0.0,0.0
2185,7.1,6.5,37.7,36.5,20.900000000000006,0.10982976400000001,0.103060909,0.103060909
2188,6.6,6.5,31.3,32.4,20.900000000000006,0.0,0.0,0.0
2195,9.913256851497797,7.1,28.93068833652004,30.5,20.900000000000006,0.0,0.0,0.0
2198,9.913256851497797,7.3,28.93068833652004,35.2,20.900000000000006,0.0,0.0,0.0
2220,6.8,6.7,30.5,28.7,20.900000000000006,0.226142017,0.112359551,0.112359551
2230,9.913256851497797,6.4,28.93068833652004,28.1,20.900000000000006,0.0,0.0,0.0
2240,6.3,6.9,31.4,33.1,20.900000000000006,0.0,0.0,0.0
2261,6.2,7.4,32.9,30.4,20.900000000000006,0.21070375100000002,0.21079258,0.21079258
2270,6.4,4.6,32.5,32.6,20.900000000000006,0.0,0.0,0.0
2275,9.913256851497797,8.9,28.93068833652004,30.6,20.900000000000006,0.0,0.0,0.0
2282,7.3,7.9,29.2,31.3,20.900000000000006,0.0,0.0,0.0
2290,6.9,8.3,32.2,28.3,20.900000000000006,0.0,0.0,0.0
4001,13.6,14.4,31.7,35.2,26.0,0.0422488,0.0,0.0
4003,8.4,10.3,23.3,26.0,26.0,0.09225021300000001,0.062770699,0.062770699
4005,7.1,7.6,20.8,23.2,26.0,0.082411202,0.065368022,0.065368022
4007,10.9,11.2,25.8,27.5,26.0,0.130692108,0.0188257,0.0188257
4009,9.1,10.3,30.1,32.5,26.0,0.07994670200000001,0.026345599999999997,0.026345599999999997
4011,8.2,10.7,32.8,34.7,26.0,0.0,0.0,0.0
4012,12.0,14.8,28.6,32.0,26.0,0.0,0.0,0.0
4013,7.4,9.0,23.1,25.4,26.0,0.07361100599999999,0.078538047,0.078538047
4015,11.1,12.8,27.0,29.6,26.0,0.06509895,0.06884309200000001,0.06884309200000001
4017,12.9,13.1,27.6,30.9,26.0,0.027888599999999996,0.0185012,0.0185012
4019,7.8,8.8,23.5,24.2,26.0,0.108653314,0.116474003,0.116474003
4021,8.4,12.3,29.0,31.6,26.0,0.025726799999999998,0.0223926,0.0223926
4023,6.3,8.0,21.0,23.0,26.0,0.021271599999999998,0.0428311,0.0428311
4025,8.0,10.5,20.1,25.3,26.0,0.113651431,0.114236625,0.114236625
4027,10.0,12.6,26.6,30.5,26.0,0.0464602,0.039361,0.039361
5001,12.6,12.9,34.8,33.8,28.599999999999994,0.052263,0.0537808,0.0537808
5003,11.3,14.5,35.7,42.1,28.599999999999994,0.0,0.0,0.0
5005,11.8,16.0,26.6,32.3,28.599999999999994,0.096244075,0.09790244,0.09790244
5007,7.8,9.6,28.0,30.1,28.599999999999994,0.11079309400000001,0.10316893699999999,0.10316893699999999
5009,10.1,12.4,28.2,33.9,28.599999999999994,0.0,0.0537692,0.0537692
5011,12.2,13.1,32.2,39.0,28.599999999999994,0.08667013300000001,0.089702189,0.089702189
5013,12.6,13.7,32.2,34.2,28.599999999999994,0.0,0.0,0.0
5015,10.9,13.0,25.5,35.8,28.599999999999994,0.110464688,0.03604380000000001,0.03604380000000001
5017,14.7,15.2,35.8,43.1,28.599999999999994,0.084381065,0.0,0.0
5019,10.1,11.6,31.3,34.3,28.599999999999994,0.173160173,0.088589653,0.088589653
5021,12.0,11.1,30.8,33.7,28.599999999999994,0.062282000000000004,0.066146316,0.066146316
5023,11.9,13.5,28.4,31.8,28.599999999999994,0.0386548,0.039010699999999995,0.039010699999999995
5025,11.8,13.0,31.7,35.7,28.599999999999994,0.0,0.0,0.0
5027,12.0,12.9,31.8,36.4,28.599999999999994,0.121842255,0.08356662299999999,0.08356662299999999
5029,10.4,13.7,29.5,39.7,28.599999999999994,0.094086654,0.0474316,0.0474316
5031,10.1,13.1,31.9,36.4,28.599999999999994,0.0523659,0.07803507700000001,0.07803507700000001
5033,8.2,11.4,30.1,35.1,28.599999999999994,0.04870530000000001,0.081041218,0.081041218
5035,13.8,15.8,36.4,38.8,28.599999999999994,0.039270400000000004,0.0403649,0.0403649
5037,12.3,13.6,31.4,37.9,28.599999999999994,0.11129041199999999,0.05804840000000001,0.05804840000000001
5039,13.6,14.4,34.0,36.2,28.599999999999994,0.0,0.0,0.0
5041,13.3,15.1,35.6,39.6,28.599999999999994,0.07628928900000001,0.0,0.0
5043,10.6,13.6,31.8,34.3,28.599999999999994,0.054068700000000004,0.0,0.0
5045,9.3,11.2,29.4,33.2,28.599999999999994,0.108290544,0.0414017,0.0414017
5047,10.9,13.8,32.9,37.1,28.599999999999994,0.0,0.0,0.0
5049,11.4,15.6,28.8,32.9,28.599999999999994,0.0,0.082474227,0.082474227
5051,10.2,14.5,27.1,32.3,28.599999999999994,0.083472454,0.051375800000000006,0.051375800000000006
5053,9.4,11.1,32.4,38.3,28.599999999999994,0.0,0.05511459999999999,0.05511459999999999
5055,9.6,12.9,30.7,31.2,28.599999999999994,0.071902787,0.09154575,0.09154575
5057,13.0,13.5,33.4,40.3,28.599999999999994,0.08843687800000001,0.044788800000000004,0.044788800000000004
5059,10.7,12.2,32.5,34.7,28.599999999999994,0.0609812,0.0299688,0.0299688
5061,11.8,13.4,32.3,35.7,28.599999999999994,0.072774907,0.074074074,0.074074074
5063,10.1,13.1,29.0,37.2,28.599999999999994,0.0551587,0.027056999999999998,0.027056999999999998
5065,9.8,15.5,27.1,33.9,28.599999999999994,0.073104759,0.0,0.0
5067,11.4,12.9,31.2,37.2,28.599999999999994,0.11145165800000001,0.0570321,0.0570321
5069,12.5,15.4,37.4,40.7,28.599999999999994,0.025720499999999997,0.013831799999999998,0.013831799999999998
5071,9.9,12.5,30.7,36.4,28.599999999999994,0.07882084,0.0384541,0.0384541
5073,13.5,15.3,32.2,36.3,28.599999999999994,0.0,0.0,0.0
5075,11.2,13.2,32.1,31.8,28.599999999999994,0.0,0.0,0.0
5077,12.7,13.1,35.6,35.7,28.599999999999994,0.0,0.0,0.0
5079,10.4,12.3,33.8,37.5,28.599999999999994,0.070497004,0.071581961,0.071581961
5081,11.9,12.9,33.1,32.7,28.599999999999994,0.0,0.0,0.0
5083,9.6,13.8,28.4,37.5,28.599999999999994,0.0445851,0.0,0.0
5085,10.9,13.1,32.4,35.8,28.599999999999994,0.0592759,0.0279497,0.0279497
5087,9.8,11.8,29.1,34.0,28.599999999999994,0.063803994,0.0,0.0
5089,11.8,12.2,30.2,31.7,28.599999999999994,0.0,0.0,0.0
5091,13.8,12.3,36.1,35.9,28.599999999999994,0.069309676,0.046053199999999996,0.046053199999999996
5093,12.6,15.9,34.7,39.8,28.599999999999994,0.042683099999999995,0.0452131,0.0452131
5095,13.3,17.2,32.1,37.5,28.599999999999994,0.0,0.0,0.0
5097,10.9,14.3,27.7,33.8,28.599999999999994,0.10537407800000001,0.0,0.0
5099,13.2,13.9,31.3,36.0,28.599999999999994,0.0,0.0,0.0
5101,12.7,12.8,31.0,34.2,28.599999999999994,0.0,0.0,0.0
5103,13.4,14.8,33.5,34.8,28.599999999999994,0.115278205,0.120831319,0.120831319
5105,10.0,12.2,28.9,37.5,28.599999999999994,0.0,0.0,0.0
5107,13.8,16.7,38.2,45.5,28.599999999999994,0.045504199999999995,0.050175599999999994,0.050175599999999994
5109,11.0,12.4,29.0,37.8,28.599999999999994,0.0,0.0,0.0
5111,11.9,13.8,34.1,38.4,28.599999999999994,0.0,0.0,0.0
5113,10.7,13.9,31.9,36.7,28.599999999999994,0.0,0.0494438,0.0494438
5115,9.6,11.2,31.1,32.1,28.599999999999994,0.065250726,0.14240281,0.14240281
5117,11.1,14.3,30.3,36.3,28.599999999999994,0.0,0.0,0.0
5119,10.0,12.0,28.3,31.7,28.599999999999994,0.105248479,0.109497787,0.109497787
5121,11.4,12.7,30.3,35.3,28.599999999999994,0.11133377900000001,0.17073587199999998,0.17073587199999998
5123,12.9,16.4,34.8,42.5,28.599999999999994,0.070581592,0.0,0.0
5125,9.6,11.8,29.6,32.5,28.599999999999994,0.094910879,0.103699479,0.103699479
5127,10.9,11.4,31.2,32.5,28.599999999999994,0.0,0.0,0.0
5129,12.5,13.4,30.1,35.0,28.599999999999994,0.0,0.0,0.0
5131,10.1,12.9,29.8,36.9,28.599999999999994,0.095910995,0.11043099599999999,0.11043099599999999
5133,12.1,12.2,32.8,36.7,28.599999999999994,0.0594813,0.0573855,0.0573855
5135,11.2,15.2,26.7,37.3,28.599999999999994,0.057560599999999996,0.0591506,0.0591506
5137,11.0,12.7,29.7,32.6,28.599999999999994,0.0,0.0,0.0
5139,11.1,13.5,29.7,39.4,28.599999999999994,0.0476826,0.0497179,0.0497179
5141,11.1,12.9,29.2,35.6,28.599999999999994,0.0578269,0.0593437,0.0593437
5143,7.8,9.1,27.4,30.6,28.599999999999994,0.10011312800000001,0.11322874,0.11322874
5145,8.8,10.1,29.0,36.3,28.599999999999994,0.06554454400000001,0.127239414,0.127239414
5147,12.2,14.7,32.3,35.8,28.599999999999994,0.0,0.14471779999999998,0.14471779999999998
5149,11.7,12.9,32.9,37.1,28.599999999999994,0.0,0.0,0.0
6001,7.6,8.5,19.5,20.0,25.3,0.097428228,0.09187291,0.09187291
6003,8.4,10.3,24.6,23.4,25.3,0.0,0.0,0.0
6005,9.3,10.2,24.6,25.5,25.3,0.130759977,0.10886723599999999,0.10886723599999999
6007,8.3,10.2,24.4,25.9,25.3,0.077351133,0.08027078,0.08027078
6009,7.3,10.0,24.4,23.5,25.3,0.152505447,0.08963786300000001,0.08963786300000001
6011,7.6,9.6,24.6,25.4,25.3,0.0,0.0466875,0.0466875
6013,7.0,9.4,24.6,25.0,25.3,0.123327135,0.114276562,0.114276562
6015,8.1,8.4,28.5,25.5,25.3,0.0349663,0.0,0.0
6017,7.1,7.5,20.3,20.6,25.3,0.09420631199999999,0.109237685,0.109237685
6019,8.5,9.4,28.4,26.6,25.3,0.054260699999999995,0.050726,0.050726
6021,7.7,8.4,28.5,26.7,25.3,0.106761566,0.0,0.0
6023,9.4,8.8,25.1,25.5,25.3,0.10467759300000001,0.140940145,0.140940145
6025,6.7,8.3,26.7,26.3,25.3,0.0465095,0.067005042,0.067005042
6027,8.0,9.4,22.7,23.3,25.3,0.215703192,0.0543183,0.0543183
6029,7.0,9.3,29.0,30.3,25.3,0.051798699999999996,0.0480226,0.0480226
6031,5.7,7.5,29.4,26.4,25.3,0.06566936799999999,0.046583099999999995,0.046583099999999995
6033,9.2,10.1,25.8,26.2,25.3,0.0465744,0.06232080000000001,0.06232080000000001
6035,6.5,7.6,28.4,23.9,25.3,0.17064846399999997,0.12598822,0.12598822
6037,7.8,9.1,20.9,21.4,25.3,0.075403069,0.083525219,0.083525219
6039,7.8,7.9,28.7,26.5,25.3,0.067008859,0.045293400000000004,0.045293400000000004
6041,6.4,7.9,16.3,18.9,25.3,0.243161579,0.253116012,0.253116012
6043,8.3,10.7,23.8,24.4,25.3,0.054908900000000004,0.113109377,0.113109377
6045,7.0,8.4,21.0,22.4,25.3,0.182394382,0.159328091,0.159328091
6047,7.5,9.2,31.4,29.5,25.3,0.063416065,0.0600707,0.0600707
6049,8.2,10.4,22.8,23.2,25.3,0.103669915,0.0,0.0
6051,7.0,7.4,20.7,22.8,25.3,0.071387778,0.142887762,0.142887762
6053,7.8,7.6,22.7,22.3,25.3,0.070686365,0.055639999999999995,0.055639999999999995
6055,7.3,8.4,22.0,23.7,25.3,0.133057363,0.176470173,0.176470173
6057,6.9,7.7,21.3,21.1,25.3,0.21300118699999998,0.182014905,0.182014905
6059,7.0,8.0,18.8,19.7,25.3,0.10277261800000001,0.11317701599999999,0.11317701599999999
6061,7.1,9.0,18.9,21.7,25.3,0.168697827,0.14259041,0.14259041
6063,8.0,9.8,23.1,23.0,25.3,0.19832416100000003,0.16123831,0.16123831
6065,8.1,9.0,26.2,26.0,25.3,0.064283967,0.065256469,0.065256469
6067,8.4,8.4,26.7,27.4,25.3,0.095839773,0.08704300699999999,0.08704300699999999
