FIPS,GROCPTH09,GROCPTH14,SUPERCPTH09,SUPERCPTH14,CONVSPTH09,CONVSPTH14,SPECSPTH09,SPECSPTH14,SNAPSPTH12,SNAPSPTH16,WICSPTH08,WICSPTH12
1039,0.26561836,0.158252888,0.0265618,0.0263755,0.7171695709999999,0.923141847,0.053123699999999996,0.052751,1.2844157554999345,1.4594123195756998,0.2728811,0.23712289999999997
1041,0.285225328,0.214638334,0.0,0.0,0.8556759840000001,0.50082278,0.0,0.0,1.4379038557125612,1.32370205323558,0.4384042,0.355038
1043,0.124453958,0.18452681199999998,0.012445399999999999,0.012301799999999998,0.672051375,0.602787585,0.074672375,0.0492071,0.9634510193933368,0.990247076750211,0.11040510000000002,0.1367479
1045,0.14040999699999998,0.161668418,0.0200586,0.020208599999999997,0.661932844,0.646673672,0.0200586,0.0,0.72522665397933,1.0597380787930502,0.16528929999999997,0.1585917
1047,0.205671976,0.19179592899999998,0.0228524,0.0239745,0.89124523,0.743209225,0.0,0.0,1.2967369665297996,1.2018429647403899,0.3284304,0.233296
1049,0.16933845100000003,0.19700274399999998,0.0141115,0.0140716,0.649130729,0.703581228,0.0141115,0.0422149,1.1794222472331646,1.1565585331452801,0.1741806,0.1547552
1051,0.12717468699999998,0.123491856,0.025434900000000003,0.024698400000000002,0.724895717,0.691554392,0.0,0.0,0.8154634188691411,0.914844109748693,0.1536,0.12402490000000001
1053,0.209155795,0.106008004,0.0,0.026501999999999998,0.8627676540000001,0.7685580259999999,0.0522889,0.0,1.112017687003211,1.19053929884083,0.1598636,0.15791970000000002
1055,0.182273429,0.125566256,0.0191867,0.0193179,0.6043803179999999,0.6568081060000001,0.009593299999999999,0.048294699999999996,0.9675070886657984,1.1464386464386498,0.1740223,0.1628477
1057,0.288850376,0.29631385600000004,0.057770100000000005,0.059262800000000004,0.40439052600000003,0.47410216899999996,0.0,0.0,0.745843883098785,0.715177887908457,0.2844627,0.29441209999999995
1059,0.18993953600000002,0.25315654600000004,0.0316566,0.031644599999999995,0.7281015540000001,0.506313091,0.0316566,0.031644599999999995,0.9681685085482192,1.0275705071455699,0.1932305,0.2203961
1061,0.412711515,0.37436358200000003,0.0,0.0,0.562788429,0.524109015,0.0,0.0374364,0.8602230391246768,1.1992435059242,0.23102689999999998,0.25992350000000003
1063,0.544543672,0.233836081,0.0,0.0,0.8712698759999999,1.403016485,0.0,0.0,1.7087276550998949,2.01852291617193,0.2212634,0.22532670000000002
1065,0.24960998399999998,0.19757639600000002,0.0,0.0,0.811232449,0.9878819809999999,0.0,0.0,0.9802010224417296,0.9753433208489392,0.2212022,0.19495710000000002
1067,0.231978194,0.17452007,0.0,0.0,0.7539291309999999,0.872600349,0.115989097,0.05817340000000001,1.0171419756657218,0.8739221626660449,0.2406305,0.1735408
1069,0.139303483,0.15356118,0.0298507,0.0287927,0.626865672,0.64303744,0.089552239,0.0575854,1.170190131718922,1.33181492017119,0.1820904,0.2030908
1071,0.280578366,0.208867369,0.0187052,0.018987900000000002,0.635977629,0.892433305,0.0374104,0.0,1.0389357274436208,1.01173807971153,0.22669740000000002,0.2074728
1073,0.16402380800000002,0.163439988,0.025818599999999997,0.028753300000000002,0.65761397,0.694619949,0.07289947,0.05296669999999999,0.8357209270378635,0.9016644908451229,0.15526220000000002,0.1424223
1075,0.272312615,0.212977424,0.0,0.0,0.54462523,0.638932273,0.0,0.0,0.8649507913130887,0.999904200795134,0.27892059999999996,0.28052459999999996
1077,0.162116594,0.18260720100000002,0.0216155,0.0214832,0.6160430579999999,0.5370800029999999,0.0216155,0.0214832,0.8716762839215347,0.9974580616275629,0.190583,0.1728945
1079,0.203992423,0.149356274,0.0291418,0.029871299999999996,0.524551945,0.567553843,0.0291418,0.029871299999999996,0.8028449277932107,0.8021497613604459,0.176227,0.1773154
1081,0.09381810800000001,0.110207125,0.021650299999999997,0.0194483,0.53404154,0.492690675,0.00721678,0.0194483,0.5981605854616984,0.6530767988963729,0.0976673,0.1018627
1083,0.147554288,0.099133136,0.0122962,0.0110148,0.7131790570000001,0.616828401,0.0245924,0.0220296,0.7082772415786313,0.809497626312177,0.10482999999999999,0.10267639999999999
1085,0.174125022,0.283553875,0.0,0.0,0.870625109,0.56710775,0.0,0.0,1.5351079180866416,1.5929716161421101,0.47649300000000006,0.18421289999999998
1087,0.23596035899999998,0.20592020600000002,0.0,0.0,0.660689004,0.720720721,0.0,0.0,0.6330654979303628,0.9008771467243231,0.1802208,0.1947894
1089,0.10578620300000001,0.125606981,0.030224599999999997,0.0342564,0.637739681,0.608051978,0.039292,0.0371112,0.6633535424196494,0.7988600253431449,0.1090635,0.102017
1091,0.188946623,0.149179513,0.0472367,0.0497265,1.039206424,0.994530085,0.0,0.0,1.2540234955802818,1.23265389111981,0.3791469,0.2941032
1093,0.16315342900000002,0.099104754,0.065261372,0.06606983599999999,0.587352346,0.79283803,0.0326307,0.0330349,0.7529044525780108,0.8806142631730999,0.27231259999999996,0.2308174
1095,0.20604470100000002,0.22190287,0.0325334,0.031700400000000004,0.704889766,0.750243036,0.05422230000000001,0.031700400000000004,0.9408148335724941,1.13321493251504,0.16816140000000002,0.1477167
1097,0.145633189,0.144535475,0.0194178,0.0216803,0.631077152,0.55164373,0.067962155,0.0602231,1.119335678301316,1.23482532856358,0.1564287,0.13287079999999998
1099,0.301490223,0.27338588399999997,0.0,0.0455643,0.6460504779999999,0.68346471,0.0,0.0,1.1319057310562488,1.2076172782164398,0.48569409999999996,0.2654632
1101,0.144986753,0.163580015,0.0263612,0.026526499999999998,0.5755534760000001,0.623372489,0.074690146,0.0574741,0.8476392829572729,1.01318465437591,0.15588470000000001,0.12166030000000001
1103,0.18494544100000002,0.133771435,0.0168132,0.016721400000000004,0.765001597,0.7942678940000001,0.05884630000000001,0.033442900000000005,0.8333679416365576,1.08672514816433,0.14617750000000002,0.1495079
1105,0.467726848,0.407083249,0.0,0.0,0.7483629559999999,0.610624873,0.0,0.0,1.841665848148512,1.25339461040318,0.46498649999999997,0.39288870000000004
1107,0.20187746,0.19641541899999998,0.0,0.0,0.5551630160000001,0.39283083700000004,0.0,0.0,1.2325002147212916,1.2300728203109599,0.361104,0.3607318
1109,0.276412776,0.17969990100000002,0.0307125,0.02995,0.522113022,0.5989996710000001,0.0,0.0,1.210495650252145,1.1841815377836498,0.1975569,0.2109578
