FIPS,FFRPTH09,FFRPTH14,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12
1001,0.55417013,0.649878148,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1003,0.624282354,0.659633903,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1005,0.759301443,0.818239298,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1007,0.305130552,0.22216297899999998,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1009,0.418548682,0.363831667,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1011,0.364066624,0.2787068,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1013,0.814683472,0.837603469,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1015,0.802615682,0.888574485,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1017,0.63983248,0.763000352,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1019,0.618859751,0.576103238,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1021,0.528930181,0.455259384,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1023,0.286204923,0.45034902,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1025,0.883324372,1.042293045,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1027,0.285591889,0.295159386,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1029,0.469231801,0.530503979,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1031,0.7079288029999999,0.667858335,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1033,0.75331643,0.953376235,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1035,0.376676209,0.5524861879999999,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1037,0.0,0.091861106,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1039,0.664045899,0.633011552,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1041,0.21391899600000003,0.357730557,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1043,0.622269791,0.651994735,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1045,0.661932844,0.687090777,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1047,0.457048836,0.45551533200000005,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1049,0.5785730410000001,0.605079856,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1051,0.36880659299999996,0.555713351,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1053,0.575178436,0.715554024,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1055,0.786653748,0.7630564759999999,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1057,0.6932409009999999,0.53336494,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1059,0.696444965,0.5696022279999999,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1061,0.37519228600000004,0.37436358200000003,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1063,0.10890873400000001,0.11691804,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
1065,0.31201248,0.461011591,649.5113669582423,674.8027203993418,484.3815070495379,512.2809872615168
