FIPS,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,SODATAX_STORES14,SODATAX_VENDM14,CHIPSTAX_STORES14,CHIPSTAX_VENDM14,FOOD_TAX14
1121,0.9703046000000001,0.9722158999999999,0.9232891,4.0,4.0,4.0,4.0,4.0
1123,0.9703046000000001,0.9722158999999999,0.9232891,4.0,4.0,4.0,4.0,4.0
1125,0.9703046000000001,0.9722158999999999,0.9232891,4.0,4.0,4.0,4.0,4.0
1127,0.9703046000000001,0.9722158999999999,0.9232891,4.0,4.0,4.0,4.0,4.0
1129,1.136671,0.9925835999999999,1.0594,4.0,4.0,4.0,4.0,4.0
1131,0.9703046000000001,0.9722158999999999,0.9232891,4.0,4.0,4.0,4.0,4.0
1133,0.9703046000000001,0.9722158999999999,0.9232891,4.0,4.0,4.0,4.0,4.0
2013,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2016,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2020,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2050,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2060,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2068,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2070,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2090,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2100,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2105,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2110,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2122,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2130,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2150,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2164,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2170,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2180,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2185,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2188,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2195,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2198,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2220,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2230,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2240,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2261,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2270,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2275,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2282,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
2290,0.9726883214216898,0.9917748623351281,0.9104945130588823,0.0,0.0,0.0,0.0,0.0
4001,0.7460753999999999,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0
4003,0.7460753999999999,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0
4005,0.7460753999999999,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0
4007,0.7460753999999999,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0
4009,0.7460753999999999,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0
4011,0.7460753999999999,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0
4012,0.7460753999999999,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0
4013,0.7460753999999999,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0
4015,0.7460753999999999,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0
4017,0.7460753999999999,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0
4019,0.7460753999999999,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0
4021,0.7460753999999999,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0
4023,0.7460753999999999,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0
4025,0.7460753999999999,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0
4027,0.7460753999999999,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0
5001,1.053402,0.9502338,1.025548,1.5,1.5,1.5,1.5,1.5
5003,1.0959379999999999,0.9748207,1.040049,1.5,1.5,1.5,1.5,1.5
5005,1.0959379999999999,0.9748207,1.040049,1.5,1.5,1.5,1.5,1.5
5007,1.0959379999999999,0.9748207,1.040049,1.5,1.5,1.5,1.5,1.5
5009,1.0959379999999999,0.9748207,1.040049,1.5,1.5,1.5,1.5,1.5
